date,Housing Inventory: Active Listing Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2020-04-01,-11.58,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2020-05-01,-16.74,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2020-06-01,-27.52,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2020-07-01,-36.88,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2020-08-01,-40.93,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2020-09-01,-44.14,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2020-10-01,-45.45,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2020-11-01,-46.82,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2020-12-01,-49.35,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2021-01-01,-52.12,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
