date,All Employees: Government: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
1999-06-01,31.820587047663697,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1999-07-01,31.9029941988605,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1999-08-01,32.2632940876354,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1999-09-01,31.9417706807399,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1999-10-01,32.4670499122455,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1999-11-01,32.4812517775376,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1999-12-01,32.4967282475532,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2000-01-01,32.6994307789234,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2000-02-01,32.746994698888805,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2000-03-01,32.7325971891254,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2000-04-01,32.712389974468,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2000-05-01,32.7064896188749,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2000-06-01,32.0515410105006,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2000-07-01,32.2037571080456,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2000-08-01,32.6582399135086,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2000-09-01,32.869470872750604,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2000-10-01,32.9072677677234,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2000-11-01,32.989778209122,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2000-12-01,32.6391552737433,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
