date,Per Capita Personal Income,state,msa,city
2009-01-01,43539,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2010-01-01,44511,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2011-01-01,46509,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2012-01-01,49031,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2013-01-01,49980,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2014-01-01,52962,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2015-01-01,55769,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2016-01-01,56522,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-01-01,58501,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-01-01,61970,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-01-01,64079,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-01-01,67671,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1969-01-01,4164,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1970-01-01,4335,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1971-01-01,4552,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1972-01-01,5012,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1973-01-01,5501,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1974-01-01,6056,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1975-01-01,6634,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1976-01-01,7220,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1977-01-01,7928,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1978-01-01,8995,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1979-01-01,10137,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1980-01-01,11352,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1981-01-01,12742,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1982-01-01,13690,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1983-01-01,14684,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1984-01-01,16174,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1985-01-01,17263,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1986-01-01,17601,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1987-01-01,17823,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1988-01-01,18629,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1989-01-01,19561,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1990-01-01,20667,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1991-01-01,20911,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1992-01-01,22021,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1993-01-01,22888,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1994-01-01,23841,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1995-01-01,25026,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1996-01-01,26533,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1997-01-01,28222,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1998-01-01,30400,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1999-01-01,31503,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2000-01-01,34022,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2001-01-01,34598,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2002-01-01,34237,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2003-01-01,34429,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2004-01-01,35286,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2005-01-01,37700,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2006-01-01,40367,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2007-01-01,41729,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2008-01-01,44110,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2009-01-01,40279,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2010-01-01,41795,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2011-01-01,45700,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2012-01-01,47410,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2013-01-01,48008,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2014-01-01,50766,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2015-01-01,51459,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2016-01-01,52106,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2017-01-01,54525,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2018-01-01,57562,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2019-01-01,59409,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2020-01-01,61554,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
1969-01-01,3877,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1970-01-01,4240,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1971-01-01,4513,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1972-01-01,4881,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1973-01-01,5371,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1974-01-01,6183,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1975-01-01,7014,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1976-01-01,7717,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1977-01-01,8477,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1978-01-01,9622,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1979-01-01,10800,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1980-01-01,12085,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1981-01-01,13780,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1982-01-01,14438,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1983-01-01,14316,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1984-01-01,15178,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1985-01-01,15927,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1986-01-01,15710,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1987-01-01,16109,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1988-01-01,17430,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1989-01-01,18711,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1990-01-01,20079,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1991-01-01,20641,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1992-01-01,21802,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1993-01-01,22387,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1994-01-01,22923,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1995-01-01,24259,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1996-01-01,25887,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1997-01-01,28016,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1998-01-01,30119,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1999-01-01,31001,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2000-01-01,33403,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2001-01-01,34540,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2002-01-01,33577,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2003-01-01,34341,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2004-01-01,36284,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2005-01-01,38931,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2006-01-01,42131,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2007-01-01,44076,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2008-01-01,48025,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2009-01-01,43985,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2010-01-01,45790,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2011-01-01,48818,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2012-01-01,52779,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2013-01-01,52471,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2014-01-01,55436,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2015-01-01,55013,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2016-01-01,51572,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2017-01-01,54788,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2018-01-01,57875,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2019-01-01,58884,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
2020-01-01,59893,TX,"Houston-The Woodlands-Sugar Land, TX",Houston
1969-01-01,4503,MI,"Detroit-Warren-Dearborn, MI",Detroit
1970-01-01,4612,MI,"Detroit-Warren-Dearborn, MI",Detroit
1971-01-01,4946,MI,"Detroit-Warren-Dearborn, MI",Detroit
1972-01-01,5488,MI,"Detroit-Warren-Dearborn, MI",Detroit
1973-01-01,6144,MI,"Detroit-Warren-Dearborn, MI",Detroit
1974-01-01,6532,MI,"Detroit-Warren-Dearborn, MI",Detroit
1975-01-01,6900,MI,"Detroit-Warren-Dearborn, MI",Detroit
1976-01-01,7750,MI,"Detroit-Warren-Dearborn, MI",Detroit
1977-01-01,8744,MI,"Detroit-Warren-Dearborn, MI",Detroit
1978-01-01,9730,MI,"Detroit-Warren-Dearborn, MI",Detroit
1979-01-01,10586,MI,"Detroit-Warren-Dearborn, MI",Detroit
1980-01-01,11250,MI,"Detroit-Warren-Dearborn, MI",Detroit
1981-01-01,12020,MI,"Detroit-Warren-Dearborn, MI",Detroit
1982-01-01,12532,MI,"Detroit-Warren-Dearborn, MI",Detroit
1983-01-01,13429,MI,"Detroit-Warren-Dearborn, MI",Detroit
1984-01-01,14932,MI,"Detroit-Warren-Dearborn, MI",Detroit
1985-01-01,16347,MI,"Detroit-Warren-Dearborn, MI",Detroit
1986-01-01,17330,MI,"Detroit-Warren-Dearborn, MI",Detroit
1987-01-01,17810,MI,"Detroit-Warren-Dearborn, MI",Detroit
1988-01-01,19128,MI,"Detroit-Warren-Dearborn, MI",Detroit
1989-01-01,20517,MI,"Detroit-Warren-Dearborn, MI",Detroit
1990-01-01,21300,MI,"Detroit-Warren-Dearborn, MI",Detroit
1991-01-01,21280,MI,"Detroit-Warren-Dearborn, MI",Detroit
1992-01-01,22296,MI,"Detroit-Warren-Dearborn, MI",Detroit
1993-01-01,23351,MI,"Detroit-Warren-Dearborn, MI",Detroit
1994-01-01,24995,MI,"Detroit-Warren-Dearborn, MI",Detroit
1995-01-01,26313,MI,"Detroit-Warren-Dearborn, MI",Detroit
1996-01-01,27488,MI,"Detroit-Warren-Dearborn, MI",Detroit
1997-01-01,28855,MI,"Detroit-Warren-Dearborn, MI",Detroit
1998-01-01,30869,MI,"Detroit-Warren-Dearborn, MI",Detroit
1999-01-01,32256,MI,"Detroit-Warren-Dearborn, MI",Detroit
2000-01-01,34683,MI,"Detroit-Warren-Dearborn, MI",Detroit
2001-01-01,34947,MI,"Detroit-Warren-Dearborn, MI",Detroit
2002-01-01,34513,MI,"Detroit-Warren-Dearborn, MI",Detroit
2003-01-01,35225,MI,"Detroit-Warren-Dearborn, MI",Detroit
2004-01-01,36003,MI,"Detroit-Warren-Dearborn, MI",Detroit
2005-01-01,36940,MI,"Detroit-Warren-Dearborn, MI",Detroit
2006-01-01,37560,MI,"Detroit-Warren-Dearborn, MI",Detroit
2007-01-01,38864,MI,"Detroit-Warren-Dearborn, MI",Detroit
