date,All Employees: Government: Federal Government,state,msa,city
2007-08-01,131.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-09-01,130.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-10-01,130.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-11-01,130.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-12-01,131.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-01-01,130.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-02-01,130.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-03-01,130.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-04-01,130.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-05-01,130.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-06-01,130.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-07-01,131.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-08-01,130.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-09-01,130.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-10-01,130.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-11-01,130.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-12-01,130.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-01-01,130.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-02-01,129.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-03-01,129.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-04-01,132.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-05-01,133.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-06-01,129.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-07-01,130.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-08-01,128.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-09-01,127.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-10-01,128.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-11-01,127.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-12-01,126.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-01-01,127.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-02-01,125.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-03-01,126.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-04-01,134.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-05-01,166.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-06-01,156.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-07-01,142.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-08-01,131.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-09-01,122.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-10-01,122.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-11-01,122.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-12-01,122.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-01-01,122.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-02-01,121.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-03-01,120.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-04-01,121.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-05-01,120.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-06-01,119.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-07-01,120.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-08-01,118.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-09-01,116.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-10-01,116.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-11-01,116.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-12-01,116.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-01-01,115.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-02-01,115.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-03-01,115.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-04-01,115.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-05-01,114.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-06-01,115.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-07-01,115.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-08-01,114.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-09-01,113.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-10-01,114.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-11-01,113.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-12-01,114.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-01-01,113.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-02-01,114.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-03-01,112.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-04-01,114.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-05-01,112.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-06-01,112.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-07-01,112.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-08-01,112.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-09-01,111.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-10-01,110.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-11-01,111.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-12-01,112.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-01-01,111.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-02-01,110.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-03-01,110.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-04-01,111.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-05-01,110.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-06-01,110.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-07-01,111.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-08-01,111.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-09-01,110.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-10-01,110.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-11-01,111.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-12-01,112.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-01-01,111.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-02-01,111.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-03-01,110.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-04-01,112.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-05-01,111.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-06-01,111.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-07-01,112.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-08-01,111.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-09-01,111.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-10-01,110.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-11-01,111.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-12-01,114.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-01-01,111.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-02-01,111.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-03-01,111.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-04-01,111.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-05-01,112.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-06-01,113.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-07-01,112.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-08-01,113.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-09-01,113.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-10-01,112.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
