date,Housing Inventory: Pending Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2018-03-01,943.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2018-04-01,1066.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2018-05-01,1126.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2018-06-01,1004.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2018-07-01,874.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2018-08-01,765.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2018-09-01,747.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2018-10-01,701.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2018-11-01,696.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2018-12-01,633.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2019-01-01,594.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2019-02-01,722.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2019-03-01,893.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2019-04-01,1046.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2019-05-01,1126.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2019-06-01,1060.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2019-07-01,910.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2019-08-01,869.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2019-09-01,829.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2019-10-01,795.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2019-11-01,776.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2019-12-01,643.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2020-01-01,628.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2020-02-01,763.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2020-03-01,889.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2020-04-01,859.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2020-05-01,860.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2020-06-01,907.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2020-07-01,897.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2020-08-01,894.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2020-09-01,933.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2020-10-01,952.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2020-11-01,892.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2020-12-01,855.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2021-01-01,784.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2021-02-01,910.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2021-03-01,1014.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2021-04-01,1132.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2021-05-01,1182.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2021-06-01,1130.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2021-07-01,976.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2021-08-01,879.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2021-09-01,856.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2021-10-01,865.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2021-11-01,793.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
