date,Housing Inventory: Active Listing Count,state,msa,city
2020-08-01,26680.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-09-01,26967.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-10-01,27016.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-11-01,24642.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-12-01,20938.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-01-01,17962.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-02-01,15887.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-03-01,15400.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-04-01,16064.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-05-01,16868.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-06-01,19112.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-07-01,21041.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-08-01,22155.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-09-01,22176.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-10-01,21533.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-11-01,18752.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-07-01,3.85,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-08-01,2.33,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-09-01,-1.26,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-10-01,-0.29,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-11-01,-8.13,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-12-01,-13.13,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-01-01,-9.89,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-02-01,1.69,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-03-01,5.77,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-04-01,6.83,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-05-01,6.69,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-06-01,7.95,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-07-01,5.84,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-08-01,2.87,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-09-01,1.75,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-10-01,-0.63,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-11-01,-5.92,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-12-01,-12.46,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-01-01,-8.66,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-02-01,1.07,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-03-01,5.89,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-04-01,6.14,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-05-01,6.58,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-06-01,5.7,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-07-01,3.84,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-08-01,0.97,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-09-01,0.41,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-10-01,-0.82,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-11-01,-8.13,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-12-01,-14.24,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-01-01,-9.18,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-02-01,1.61,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-03-01,1.67,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-04-01,-4.49,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-05-01,-0.61,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-06-01,-0.38,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-07-01,-3.44,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-08-01,-1.55,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-09-01,1.08,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-10-01,0.18,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-11-01,-8.79,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-12-01,-15.03,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
