date,All Employees: Government: State Government,state,msa,city,title,id,frequency,seasonal_adjustment
1998-02-01,2.67180704594158,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1998-03-01,2.62095432550671,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1998-04-01,2.5779785715654797,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1998-05-01,2.41179615992069,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1998-06-01,2.43826678612183,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1998-07-01,2.5980607112364704,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1998-08-01,2.56478281790755,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1998-09-01,2.5703338463212,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1998-10-01,2.58899991476148,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1998-11-01,2.63658614783715,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1998-12-01,2.8779994355345697,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
