date,All Employees: Federal Government,state,msa,city
2001-07-01,66.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-08-01,66.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-09-01,66.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-10-01,66.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-11-01,66.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-12-01,66.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-01-01,65.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-02-01,65.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-03-01,65.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-04-01,65.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-05-01,65.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-06-01,65.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-07-01,65.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-08-01,65.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-09-01,64.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-10-01,66.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-11-01,67.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-12-01,68.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-01-01,68.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-02-01,68.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-03-01,68.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-04-01,68.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-05-01,67.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-06-01,67.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-07-01,67.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-08-01,67.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-09-01,66.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-10-01,67.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-11-01,67.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-12-01,67.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-01-01,66.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-02-01,66.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-03-01,66.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-04-01,66.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-05-01,66.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-06-01,65.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-07-01,65.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-08-01,66.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-09-01,66.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-10-01,66.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-11-01,65.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-12-01,66.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-01-01,65.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-02-01,65.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-03-01,65.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-04-01,65.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-05-01,65.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-06-01,65.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-07-01,65.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-08-01,64.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-09-01,65.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-10-01,64.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-11-01,64.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-12-01,64.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-01-01,63.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-02-01,63.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-03-01,63.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-04-01,63.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-05-01,63.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-06-01,63.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-07-01,63.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-08-01,63.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-09-01,63.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-10-01,64.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-11-01,64.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-12-01,64.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-01-01,63.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-02-01,62.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-03-01,61.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-04-01,62.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-05-01,62.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-06-01,62.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-07-01,62.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-08-01,62.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-09-01,62.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-10-01,62.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-11-01,63.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-12-01,63.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-01-01,63.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-02-01,63.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-03-01,62.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-04-01,62.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-05-01,62.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-06-01,62.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-07-01,63.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-08-01,62.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-09-01,62.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-10-01,63.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-11-01,62.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-12-01,62.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-01-01,62.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-02-01,62.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-03-01,62.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-04-01,64.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-05-01,59.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-06-01,58.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-07-01,59.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-08-01,58.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-09-01,58.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-10-01,59.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-11-01,58.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-12-01,58.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-01-01,58.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-02-01,58.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-03-01,58.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-04-01,68.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-05-01,79.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-06-01,70.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-07-01,65.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-08-01,62.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-09-01,61.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-10-01,61.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-11-01,61.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-12-01,61.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-01-01,60.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-02-01,60.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-03-01,60.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-04-01,60.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-05-01,60.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-06-01,60.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-07-01,61.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-08-01,60.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-09-01,60.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-10-01,60.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-11-01,60.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-12-01,60.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-01-01,59.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-02-01,59.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-03-01,59.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-04-01,59.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-05-01,58.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-06-01,58.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-07-01,59.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-08-01,59.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-09-01,58.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-10-01,59.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-11-01,58.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-12-01,59.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-01-01,58.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-02-01,58.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-03-01,57.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-04-01,58.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-05-01,58.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-06-01,58.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-07-01,57.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-08-01,58.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
