date,Housing Inventory: Average Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2020-10-01,366795.743,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2020-11-01,382059.2717,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2020-12-01,376519.1631,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2021-01-01,370437.4592,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2021-02-01,384646.0653,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2021-03-01,389295.3358,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2021-04-01,395725.406,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2021-05-01,428547.2525,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2021-06-01,415401.2088,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2021-07-01,399972.0113,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2021-08-01,386727.2347,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2021-09-01,365318.1647,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2021-10-01,362432.0664,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2021-11-01,384070.8191,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2016-07-01,278488.5187,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2016-08-01,278699.7112,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2016-09-01,277829.7789,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2016-10-01,274241.6639,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2016-11-01,279224.3549,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2016-12-01,280517.5695,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2017-01-01,276219.1444,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2017-02-01,273090.4968,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2017-03-01,275729.342,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2017-04-01,288716.7578,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2017-05-01,295563.2469,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2017-06-01,298434.6508,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2017-07-01,302827.913,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2017-08-01,300007.9842,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2017-09-01,299246.5071,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2017-10-01,290875.995,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2017-11-01,286802.8584,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2017-12-01,286974.0679,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2018-01-01,285426.7131,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2018-02-01,295483.7256,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2018-03-01,312023.9872,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2018-04-01,313676.1081,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2018-05-01,308290.1424,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2018-06-01,299654.6156,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2018-07-01,292395.0716,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2018-08-01,298323.0494,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2018-09-01,299439.8118,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2018-10-01,300740.5255,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2018-11-01,301002.7557,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2018-12-01,296841.0952,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2019-01-01,308052.203,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2019-02-01,314055.6746,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2019-03-01,322293.2227,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2019-04-01,326448.0303,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2019-05-01,325827.2215,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2019-06-01,319890.2568,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2019-07-01,320949.4273,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
