date,All Employees: Health Care and Social Assistance,state,msa,city
1994-01-01,408.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-02-01,409.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-03-01,410.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-04-01,408.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-05-01,408.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-06-01,409.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-07-01,408.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-08-01,410.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-09-01,411.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-10-01,411.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-11-01,413.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-12-01,412.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-01-01,411.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-02-01,410.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-03-01,410.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-04-01,413.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-05-01,414.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-06-01,413.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-07-01,413.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-08-01,413.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-09-01,414.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-10-01,417,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-11-01,418.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-12-01,419.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-01-01,424.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-02-01,426.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-03-01,429.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-04-01,431.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-05-01,430.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-06-01,429.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-07-01,430.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-08-01,431.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-09-01,431.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-10-01,431.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-11-01,433.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-12-01,433.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-01-01,433.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-02-01,434.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-03-01,435.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-04-01,438.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-05-01,438.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-06-01,440.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-07-01,440.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-08-01,443,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-09-01,441.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-10-01,442,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-11-01,441,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-12-01,439.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-01-01,444.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-02-01,446.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-03-01,448.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-04-01,451.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-05-01,456.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-06-01,456.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-07-01,454.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-08-01,456.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-09-01,458,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-10-01,458.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-11-01,460.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-12-01,457.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-01-01,463.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-02-01,464.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-03-01,463.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-04-01,461.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-05-01,461.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-06-01,461.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-07-01,463.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-08-01,463.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-09-01,465.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-10-01,467.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-11-01,468.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-12-01,468.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-01-01,468.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-02-01,468.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-03-01,469.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-04-01,470.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-05-01,470.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-06-01,472.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-07-01,473.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-08-01,474.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-09-01,476.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-10-01,475.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-11-01,476.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-12-01,479,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-01-01,482.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-02-01,485.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-03-01,488.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-04-01,490.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-05-01,492.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-06-01,495.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-07-01,499.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
