date,Housing Inventory: Median Days on Market Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2018-03-01,-15.6862745,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2018-04-01,5.8139535,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2018-05-01,-2.1978022,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2018-06-01,-5.6179775,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2018-07-01,-7.1428571,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2018-08-01,20.5128205,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2018-09-01,10.6382979,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2018-10-01,1.9230769,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2018-11-01,9.4339623,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2018-12-01,17.2413793,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2019-01-01,3.6764706,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2019-02-01,-26.9503546,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2019-03-01,-2.9126214,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2019-04-01,-11.0,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
