date,Housing Inventory: Median Listing Price per Square Feet Year-Over-Year,state,msa,city
2019-04-01,9.53,NJ,"Trenton-Princeton, NJ",Trenton
2019-05-01,9.38,NJ,"Trenton-Princeton, NJ",Trenton
2019-06-01,12.59,NJ,"Trenton-Princeton, NJ",Trenton
2019-07-01,10.24,NJ,"Trenton-Princeton, NJ",Trenton
2019-08-01,8.99,NJ,"Trenton-Princeton, NJ",Trenton
2019-09-01,9.86,NJ,"Trenton-Princeton, NJ",Trenton
2019-10-01,8.95,NJ,"Trenton-Princeton, NJ",Trenton
2019-11-01,7.92,NJ,"Trenton-Princeton, NJ",Trenton
2019-12-01,9.87,NJ,"Trenton-Princeton, NJ",Trenton
2020-01-01,9.11,NJ,"Trenton-Princeton, NJ",Trenton
2020-02-01,6.26,NJ,"Trenton-Princeton, NJ",Trenton
2020-03-01,7.87,NJ,"Trenton-Princeton, NJ",Trenton
2020-04-01,5.64,NJ,"Trenton-Princeton, NJ",Trenton
2020-05-01,1.62,NJ,"Trenton-Princeton, NJ",Trenton
2020-06-01,2.53,NJ,"Trenton-Princeton, NJ",Trenton
2020-07-01,5.14,NJ,"Trenton-Princeton, NJ",Trenton
2020-08-01,5.22,NJ,"Trenton-Princeton, NJ",Trenton
2020-09-01,6.91,NJ,"Trenton-Princeton, NJ",Trenton
2020-10-01,10.04,NJ,"Trenton-Princeton, NJ",Trenton
2020-11-01,12.16,NJ,"Trenton-Princeton, NJ",Trenton
2020-12-01,7.67,NJ,"Trenton-Princeton, NJ",Trenton
2021-01-01,9.26,NJ,"Trenton-Princeton, NJ",Trenton
2021-02-01,6.3,NJ,"Trenton-Princeton, NJ",Trenton
2021-03-01,10.59,NJ,"Trenton-Princeton, NJ",Trenton
2021-04-01,12.01,NJ,"Trenton-Princeton, NJ",Trenton
2021-05-01,13.6,NJ,"Trenton-Princeton, NJ",Trenton
2021-06-01,6.82,NJ,"Trenton-Princeton, NJ",Trenton
2021-07-01,5.7,NJ,"Trenton-Princeton, NJ",Trenton
2021-08-01,8.12,NJ,"Trenton-Princeton, NJ",Trenton
2021-09-01,6.41,NJ,"Trenton-Princeton, NJ",Trenton
2021-10-01,1.51,NJ,"Trenton-Princeton, NJ",Trenton
2021-11-01,-0.89,NJ,"Trenton-Princeton, NJ",Trenton
2017-07-01,8.04,NE,"Lincoln, NE",Lincoln
2017-08-01,10.67,NE,"Lincoln, NE",Lincoln
2017-09-01,8.15,NE,"Lincoln, NE",Lincoln
2017-10-01,9.21,NE,"Lincoln, NE",Lincoln
2017-11-01,13.53,NE,"Lincoln, NE",Lincoln
2017-12-01,12.09,NE,"Lincoln, NE",Lincoln
