date,Housing Inventory: Median Days on Market Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2018-04-01,-11.0,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2018-05-01,-10.4166667,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2018-06-01,-9.0909091,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2018-07-01,0.9803922,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2018-08-01,0.9345794,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2018-09-01,-7.8125,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2018-10-01,-7.9710145,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2018-11-01,-3.030303,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2018-12-01,-1.4285714,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2019-01-01,0.6802721,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2019-02-01,1.5503876,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2019-03-01,12.244898,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2019-04-01,14.6067416,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
