date,Housing Inventory: Active Listing Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2020-05-01,1.83,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2020-06-01,-6.59,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2020-07-01,-11.86,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2020-08-01,-3.27,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2020-09-01,4.89,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2020-10-01,-5.73,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2020-11-01,-9.13,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2020-12-01,-9.21,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2021-01-01,-21.2,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2021-02-01,4.09,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2021-03-01,1.12,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2021-04-01,14.44,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2021-05-01,19.9,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2021-06-01,15.79,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
