date,All Employees: State Government,state,msa,city,title,id,frequency,seasonal_adjustment
2018-01-01,56.8,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2019-01-01,57.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2020-01-01,57.4,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
1990-01-01,28.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: State Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409092000001A,Annual,Not Seasonally Adjusted
1991-01-01,29.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: State Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409092000001A,Annual,Not Seasonally Adjusted
1992-01-01,28.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: State Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409092000001A,Annual,Not Seasonally Adjusted
1993-01-01,28.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: State Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409092000001A,Annual,Not Seasonally Adjusted
1994-01-01,29.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: State Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409092000001A,Annual,Not Seasonally Adjusted
1995-01-01,28.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: State Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409092000001A,Annual,Not Seasonally Adjusted
1996-01-01,28.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: State Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409092000001A,Annual,Not Seasonally Adjusted
1997-01-01,25.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: State Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409092000001A,Annual,Not Seasonally Adjusted
1998-01-01,25.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: State Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409092000001A,Annual,Not Seasonally Adjusted
1999-01-01,25.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: State Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409092000001A,Annual,Not Seasonally Adjusted
2000-01-01,25.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: State Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409092000001A,Annual,Not Seasonally Adjusted
2001-01-01,25.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: State Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409092000001A,Annual,Not Seasonally Adjusted
2002-01-01,26.0,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: State Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409092000001A,Annual,Not Seasonally Adjusted
2003-01-01,26.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: State Government in Cincinnati, OH-KY-IN (MSA)",SMU39171409092000001A,Annual,Not Seasonally Adjusted
