date,Regional Price Parities,state,msa,city,title,id,frequency,seasonal_adjustment
2014-01-01,96.6,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Regional Price Parities: All Items for Detroit-Warren-Dearborn, MI (MSA)",RPPALL19820,Annual,Not Seasonally Adjusted
2015-01-01,96.2,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Regional Price Parities: All Items for Detroit-Warren-Dearborn, MI (MSA)",RPPALL19820,Annual,Not Seasonally Adjusted
2016-01-01,95.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Regional Price Parities: All Items for Detroit-Warren-Dearborn, MI (MSA)",RPPALL19820,Annual,Not Seasonally Adjusted
2017-01-01,95.2,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Regional Price Parities: All Items for Detroit-Warren-Dearborn, MI (MSA)",RPPALL19820,Annual,Not Seasonally Adjusted
2018-01-01,95.2,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Regional Price Parities: All Items for Detroit-Warren-Dearborn, MI (MSA)",RPPALL19820,Annual,Not Seasonally Adjusted
2019-01-01,95.3,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Regional Price Parities: All Items for Detroit-Warren-Dearborn, MI (MSA)",RPPALL19820,Annual,Not Seasonally Adjusted
2008-01-01,91.8,GA,"Gainesville, GA",Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2009-01-01,90.8,GA,"Gainesville, GA",Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2010-01-01,90.0,GA,"Gainesville, GA",Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2011-01-01,90.4,GA,"Gainesville, GA",Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2012-01-01,90.9,GA,"Gainesville, GA",Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2013-01-01,90.5,GA,"Gainesville, GA",Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2014-01-01,89.2,GA,"Gainesville, GA",Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2015-01-01,89.2,GA,"Gainesville, GA",Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2016-01-01,89.3,GA,"Gainesville, GA",Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2017-01-01,89.4,GA,"Gainesville, GA",Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2018-01-01,90.6,GA,"Gainesville, GA",Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
