date,All Employees: Retail Trade: Department Stores,state,msa,city,title,id,frequency,seasonal_adjustment
1999-03-01,32.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1999-04-01,32.9,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1999-05-01,33,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1999-06-01,33.5,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1999-07-01,33.6,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1999-08-01,33.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1999-09-01,34.2,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1999-10-01,34.4,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1999-11-01,34,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1999-12-01,34.3,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
2000-01-01,32.9,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
2000-02-01,33.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
2000-03-01,33.2,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
