date,Average Weekly Earnings of All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
2021-06-01,1165.4852278630199,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2021-07-01,1158.62722918565,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2021-08-01,1178.14460805105,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2021-09-01,1168.4895967595598,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2021-10-01,1181.78703243096,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2011-01-01,658.1570551503299,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2011-02-01,652.861967161479,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2011-03-01,644.5254092423851,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2011-04-01,631.2247612549311,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2011-05-01,635.056738260347,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2011-06-01,635.820879970861,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2011-07-01,656.689668615174,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2011-08-01,641.544949721303,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2011-09-01,638.017940867396,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
2011-10-01,629.208288057756,NY,"Watertown-Fort Drum, NY",Watertown,"Average Weekly Earnings of All Employees: Total Private in Watertown-Fort Drum, NY (MSA)",SMU36480600500000011SA,Monthly,Seasonally Adjusted
