date,New Private Housing Units Authorized by Building Permits,state,msa,city,title,id,frequency,seasonal_adjustment
1993-11-01,222.93884229143,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1993-12-01,227.545340820581,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1994-01-01,244.412561226273,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1994-02-01,215.479812504595,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1994-03-01,231.535338639354,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1994-04-01,250.672370278511,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1994-05-01,217.010455350739,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1994-06-01,238.279567040257,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1994-07-01,200.79888434537602,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1994-08-01,205.74197084297901,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1994-09-01,201.733261624954,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1994-10-01,147.474475586257,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1994-11-01,186.195188064413,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1994-12-01,199.245355159829,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
