date,All Employees: Leisure and Hospitality,state,msa,city,title,id,frequency,seasonal_adjustment
1995-03-01,2.98220134570908,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1995-04-01,3.08259886808276,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1995-05-01,3.11434034423883,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1995-06-01,2.9422095991216497,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1995-07-01,3.11521393398812,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1995-08-01,3.15092118246352,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1995-09-01,3.1095423921175294,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1995-10-01,3.0812008915690603,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1995-11-01,3.09684285170206,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1995-12-01,2.9432986574674795,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1996-01-01,3.0526347835178305,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1996-02-01,3.03775757957425,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1996-03-01,2.9752692742174798,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1996-04-01,2.9819990679751895,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1996-05-01,3.0194193928916095,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1996-06-01,3.0534177595029997,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1996-07-01,2.9997599263624304,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1996-08-01,3.03613332510271,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1996-09-01,3.01314745912912,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1996-10-01,2.99110957720832,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1996-11-01,2.88473636215808,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1996-12-01,3.05425438383165,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1997-01-01,2.96582098689694,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1997-02-01,2.93317292287542,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1997-03-01,2.9648254600323796,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1997-04-01,2.8781278975073397,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1997-05-01,2.82748066327757,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1997-06-01,2.85714664599087,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1997-07-01,2.88666293667508,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
