date,Housing Inventory: Median Listing Price per Square Feet Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2018-12-01,-0.19,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2019-01-01,0.9,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2019-02-01,1.15,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2019-03-01,0.6,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2019-04-01,-0.48,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2019-05-01,0.44,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2019-06-01,0.48,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2019-07-01,0.38,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2019-08-01,0.34,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2019-09-01,0.39,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2019-10-01,1.21,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2019-11-01,0.5,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2019-12-01,2.55,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2020-01-01,0.48,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2020-02-01,0.32,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2020-03-01,-0.2,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2020-04-01,0.17,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2020-05-01,0.8,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2020-06-01,1.06,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2020-07-01,1.44,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2020-08-01,0.87,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2020-09-01,5.12,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2020-10-01,1.63,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2020-11-01,-1.33,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2020-12-01,0.36,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2021-01-01,1.92,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2021-02-01,2.87,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2021-03-01,-0.8,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2021-04-01,0.29,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2021-05-01,-1.03,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2021-06-01,1.58,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2021-07-01,0.34,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2021-08-01,-1.36,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2021-09-01,1.61,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2021-10-01,4.16,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2021-11-01,-0.72,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2017-07-01,-0.44,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2017-08-01,-0.67,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2017-09-01,0.31,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2017-10-01,-0.04,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
