date,Housing Inventory: Price Reduced Count,state,msa,city,title,id,frequency,seasonal_adjustment
2017-12-01,288.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2018-01-01,208.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2018-02-01,296.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2018-03-01,356.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2018-04-01,476.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2018-05-01,552.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2018-06-01,564.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2018-07-01,500.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2018-08-01,504.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2018-09-01,432.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2018-10-01,420.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2018-11-01,324.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2018-12-01,308.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2019-01-01,224.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2019-02-01,260.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2019-03-01,244.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2019-04-01,248.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2019-05-01,356.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2019-06-01,348.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2019-07-01,316.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2019-08-01,300.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2019-09-01,308.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2019-10-01,248.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2019-11-01,176.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2019-12-01,108.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2020-01-01,156.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2020-02-01,152.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2020-03-01,176.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2020-04-01,168.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2020-05-01,156.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
