date,Housing Inventory: Price Reduced Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2020-08-01,-57.58,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2020-09-01,-65.85,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2020-10-01,-59.62,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2020-11-01,-71.23,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2020-12-01,-59.74,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2021-01-01,-72.45,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2021-02-01,-74.39,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2021-03-01,-66.23,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2021-04-01,-63.64,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2021-05-01,-75.26,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
