date,Housing Inventory: Price Increased Count,state,msa,city,title,id,frequency,seasonal_adjustment
2020-04-01,16.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2020-05-01,16.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2020-06-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2020-07-01,16.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2020-08-01,28.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2020-09-01,20.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2020-10-01,16.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2020-11-01,16.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2020-12-01,4.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2021-01-01,32.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2021-02-01,36.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2021-03-01,52.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2021-04-01,44.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2021-05-01,60.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2021-06-01,16.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2021-07-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2021-08-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2021-09-01,8.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2021-10-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2021-11-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2016-07-01,8.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2016-08-01,24.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2016-09-01,8.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2016-10-01,16.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2016-11-01,8.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2016-12-01,12.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2017-01-01,12.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2017-02-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2017-03-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2017-04-01,8.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2017-05-01,8.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2017-06-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2017-07-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2017-08-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2017-09-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
