date,Housing Inventory: Median Listing Price Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2020-06-01,15.15,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2020-07-01,14.03,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2020-08-01,22.11,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2020-09-01,23.36,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2020-10-01,14.44,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2020-11-01,9.38,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2020-12-01,8.75,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2021-01-01,15.67,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2021-02-01,21.83,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2021-03-01,12.72,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2021-04-01,19.4,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2021-05-01,25.26,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2021-06-01,12.03,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2021-07-01,15.0,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2021-08-01,8.92,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2021-09-01,12.1,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2021-10-01,26.3,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2021-11-01,29.79,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2017-07-01,-4.07,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2017-08-01,-3.97,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2017-09-01,-2.15,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2017-10-01,-0.61,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2017-11-01,1.78,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2017-12-01,3.25,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2018-01-01,2.94,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2018-02-01,3.82,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2018-03-01,3.11,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2018-04-01,2.88,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2018-05-01,3.1,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2018-06-01,2.98,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2018-07-01,3.08,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2018-08-01,4.06,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2018-09-01,3.01,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2018-10-01,1.58,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2018-11-01,-1.57,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2018-12-01,-1.87,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2019-01-01,-2.76,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2019-02-01,-3.17,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2019-03-01,-1.93,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2019-04-01,-1.44,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
