date,Housing Inventory: Pending Listing Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,-10.28,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2017-08-01,-6.22,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2017-09-01,-6.5,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2017-10-01,-2.23,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2017-11-01,-2.84,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2017-12-01,-8.78,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2018-01-01,0.8,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2018-02-01,23.89,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2018-03-01,21.21,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2018-04-01,13.04,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2018-05-01,5.63,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
