date,Housing Inventory: Price Reduced Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-12-01,-56.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2018-01-01,9.09,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2018-02-01,91.67,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2018-03-01,-4.35,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2018-04-01,59.09,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2018-05-01,14.29,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2018-06-01,-7.5,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2018-07-01,18.92,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2018-08-01,25.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2018-09-01,-21.82,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2018-10-01,-11.63,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2018-11-01,-10.53,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2018-12-01,-29.41,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2019-01-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2019-02-01,-12.5,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2019-03-01,28.57,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2019-04-01,7.41,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2019-05-01,17.24,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2019-06-01,-8.82,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2019-07-01,12.9,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2019-08-01,28.57,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2019-09-01,-11.11,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2019-10-01,2.5,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2019-11-01,-34.15,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2019-12-01,-44.44,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
