date,All Employees: Government: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
1997-04-01,7.21348365475747,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1997-05-01,7.36635566248124,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1997-06-01,7.09429199991899,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1997-07-01,7.372795505406411,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1997-08-01,7.440524437014219,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1997-09-01,7.42956774980338,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1997-10-01,7.507905204227001,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1997-11-01,7.444718010860549,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1997-12-01,7.412705346568849,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1998-01-01,7.118309746333389,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1998-02-01,7.32031736489836,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1998-03-01,7.331071457348441,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1998-04-01,7.21505264245246,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1998-05-01,7.26723369520357,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1998-06-01,7.2395694435494695,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1998-07-01,7.3272713316765,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1998-08-01,6.813048452234139,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1998-09-01,7.24152015655087,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1998-10-01,7.39521447000356,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1998-11-01,7.43949960610333,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1998-12-01,7.4026875864517,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1999-01-01,7.38478671346996,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1999-02-01,7.5197114837461605,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1999-03-01,7.515747839129231,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1999-04-01,7.51245719713463,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1999-05-01,7.47204647386219,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1999-06-01,6.975331501718039,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1999-07-01,7.37197699225005,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1999-08-01,7.48860382524014,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1999-09-01,7.55521476375314,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1999-10-01,7.585901993129361,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1999-11-01,7.634077240199501,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1999-12-01,7.59631856896032,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2000-01-01,7.746841023887651,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2000-02-01,7.73137747021698,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2000-03-01,7.809411575916599,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2000-04-01,7.694577899055179,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2000-05-01,7.78212270872791,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2000-06-01,7.401439474148099,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2000-07-01,8.001395535885411,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2000-08-01,7.87870241981977,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2000-09-01,7.855741793971809,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2000-10-01,7.889034579241481,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2000-11-01,7.82823097066979,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2000-12-01,7.891548354005019,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2001-01-01,7.91346421951558,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2001-02-01,7.84888163683529,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2001-03-01,7.81046908359452,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2001-04-01,7.9719009902811395,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2001-05-01,7.888245055185269,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
2001-06-01,7.9125741892714405,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
