date,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors",state,msa,city,title,id,frequency,seasonal_adjustment
1996-08-01,28.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1996-09-01,28.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1996-10-01,28.4,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1996-11-01,28.4,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1996-12-01,28.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1997-01-01,28.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1997-02-01,29,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1997-03-01,29.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1997-04-01,29.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1997-05-01,29.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1997-06-01,29.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1997-07-01,29.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1997-08-01,29.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1997-09-01,30.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1997-10-01,29.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1997-11-01,29.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1997-12-01,29.0,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1998-01-01,29.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1998-02-01,29.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1998-03-01,29.4,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1998-04-01,29.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
