date,All Employees: Service-Providing,state,msa,city,title,id,frequency,seasonal_adjustment
1994-08-01,27.075935379222102,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1994-09-01,27.3045510554008,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1994-10-01,27.364468621564804,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1994-11-01,27.331415988070002,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1994-12-01,27.511735649829802,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1995-01-01,26.140945731455602,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1995-02-01,26.2362987362949,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1995-03-01,26.3948984063785,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1995-04-01,26.5499659427243,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1995-05-01,26.418650633571502,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
