date,All Employees: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
1994-01-01,7.2,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
1995-01-01,7.4,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
1996-01-01,7.6,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
1997-01-01,7.8,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
1998-01-01,7.9,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
1999-01-01,8.1,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2000-01-01,8.3,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2001-01-01,8.6,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2002-01-01,8.8,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2003-01-01,8.7,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2004-01-01,8.8,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2005-01-01,9.0,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2006-01-01,9.1,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2007-01-01,9.3,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2008-01-01,9.5,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2009-01-01,9.6,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2010-01-01,9.6,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2011-01-01,9.6,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2012-01-01,9.5,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2013-01-01,9.5,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2014-01-01,9.6,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2015-01-01,9.6,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2016-01-01,9.7,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2017-01-01,9.8,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2018-01-01,9.9,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2019-01-01,10.1,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
2020-01-01,9.5,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
1990-01-01,358.7,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
1991-01-01,366.2,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
1992-01-01,371.3,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
1993-01-01,373.9,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
