date,Housing Inventory: Price Increased Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2018-03-01,-9.54,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2018-04-01,9.92,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2018-05-01,-2.36,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2018-06-01,26.17,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2018-07-01,18.86,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2018-08-01,18.48,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2018-09-01,-12.52,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2018-10-01,-18.33,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2018-11-01,-6.64,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2018-12-01,38.82,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2019-01-01,28.4,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
