date,Resident Population,state,msa,city,title,id,frequency,seasonal_adjustment
2015-01-01,7042.322,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Resident Population in Dallas-Fort Worth-Arlington, TX (MSA)",DFWPOP,Annual,Not Seasonally Adjusted
2016-01-01,7195.475,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Resident Population in Dallas-Fort Worth-Arlington, TX (MSA)",DFWPOP,Annual,Not Seasonally Adjusted
2017-01-01,7337.707,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Resident Population in Dallas-Fort Worth-Arlington, TX (MSA)",DFWPOP,Annual,Not Seasonally Adjusted
2018-01-01,7457.586,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Resident Population in Dallas-Fort Worth-Arlington, TX (MSA)",DFWPOP,Annual,Not Seasonally Adjusted
2019-01-01,7574.39,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Resident Population in Dallas-Fort Worth-Arlington, TX (MSA)",DFWPOP,Annual,Not Seasonally Adjusted
2020-01-01,7694.138,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Resident Population in Dallas-Fort Worth-Arlington, TX (MSA)",DFWPOP,Annual,Not Seasonally Adjusted
2000-01-01,4457.471,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2001-01-01,4479.232,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2002-01-01,4486.067,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2003-01-01,4492.756,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2004-01-01,4498.311,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2005-01-01,4494.398,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2006-01-01,4484.542,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2007-01-01,4456.582,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2008-01-01,4423.781,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2009-01-01,4403.437,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2010-01-01,4291.281,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2011-01-01,4291.613,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2012-01-01,4300.923,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
