date,All Employees: Transportation and Warehousing,state,msa,city,title,id,frequency,seasonal_adjustment
1991-04-01,163.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1991-05-01,163.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1991-06-01,163.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1991-07-01,164.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1991-08-01,163.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1991-09-01,163.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1991-10-01,162.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1991-11-01,163.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1991-12-01,162,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1992-01-01,159,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1992-02-01,160.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1992-03-01,160.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1992-04-01,161.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1992-05-01,160.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1992-06-01,159.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1992-07-01,159.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1992-08-01,159.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1992-09-01,159.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1992-10-01,159.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1992-11-01,159.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1992-12-01,158.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1993-01-01,160.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1993-02-01,158.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1993-03-01,157.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1993-04-01,157.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1993-05-01,157.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1993-06-01,157.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1993-07-01,157.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1993-08-01,157.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1993-09-01,157.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1993-10-01,159.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1993-11-01,159.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1993-12-01,160.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1994-01-01,160.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1994-02-01,160.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
