date,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities",state,msa,city,title,id,frequency,seasonal_adjustment
1993-08-01,2.67435122593362,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1993-09-01,2.6645318243851803,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1993-10-01,2.7980270926343196,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1993-11-01,2.8016941395030703,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1993-12-01,2.86193536367657,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1994-01-01,2.79193207239119,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1994-02-01,2.87213534887514,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1994-03-01,2.8712785972409502,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1994-04-01,2.7516119104008196,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1994-05-01,2.79423459444833,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1994-06-01,2.84014741355842,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1994-07-01,2.8820913480606096,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1994-08-01,2.8754347459760696,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1994-09-01,2.8625317072268794,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
