date,Housing Inventory: Active Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2016-09-01,1803.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2016-10-01,1766.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2016-11-01,1598.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2016-12-01,1444.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2017-01-01,1312.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2017-02-01,1369.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2017-03-01,1521.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2017-04-01,1658.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2017-05-01,1725.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2017-06-01,1732.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2017-07-01,1694.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2017-08-01,1676.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2017-09-01,1676.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2017-10-01,1614.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2017-11-01,1531.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2017-12-01,1334.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2018-01-01,1257.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2018-02-01,1293.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2018-03-01,1464.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2018-04-01,1603.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2018-05-01,1689.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
