date,Housing Inventory: Median Listing Price per Square Feet,state,msa,city,title,id,frequency,seasonal_adjustment
2017-12-01,162.5891947,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2018-01-01,161.7846738,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2018-02-01,163.2680127,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2018-03-01,165.1126651,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2018-04-01,164.0079928,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2018-05-01,163.5307223,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2018-06-01,162.6231994,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2018-07-01,163.068105,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2018-08-01,163.6930744,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2018-09-01,164.6341463,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
