date,All Employees: Manufacturing,state,msa,city,title,id,frequency,seasonal_adjustment
1995-10-01,28.087896672547803,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1995-11-01,28.2488357773328,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1995-12-01,28.3308373834547,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1996-01-01,27.6282539359207,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1996-02-01,27.6508442153225,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1996-03-01,27.6554015125632,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1996-04-01,27.7850010026938,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1996-05-01,27.7505630870882,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1996-06-01,27.905632849987697,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1996-07-01,27.7919018502019,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1996-08-01,27.797633629633697,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1996-09-01,27.6615904346789,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1996-10-01,27.4992442565645,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1996-11-01,27.6872570431418,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1996-12-01,27.6673988212296,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1997-01-01,27.3805783582954,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1997-02-01,27.514612961771103,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1997-03-01,27.657767211895102,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1997-04-01,27.5718927381239,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1997-05-01,27.735722375184196,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1997-06-01,27.8178984059136,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1997-07-01,28.163815788883,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1997-08-01,28.491545926407102,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1997-09-01,28.2765123805627,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1997-10-01,28.7352493067547,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1997-11-01,28.641347699180198,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1997-12-01,28.6062742216996,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1998-01-01,28.5418430464324,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1998-02-01,28.4732241613941,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1998-03-01,28.1402461315698,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1998-04-01,28.153388430634198,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1998-05-01,28.017638937037397,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1998-06-01,27.846323418645802,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1998-07-01,27.3314040375033,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1998-08-01,27.3843860826427,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1998-09-01,27.190367134691897,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1998-10-01,26.7614880025823,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1998-11-01,26.8060704663629,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
