date,All Employees: Government: Federal Government,state,msa,city,title,id,frequency,seasonal_adjustment
1999-03-01,13.9498987319049,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1999-04-01,14.106375252328501,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1999-05-01,13.7919076633176,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1999-06-01,13.614908221934199,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1999-07-01,13.74377139877,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1999-08-01,13.801089493829998,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1999-09-01,13.7893526977108,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1999-10-01,13.989299275938098,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1999-11-01,14.329077219538698,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1999-12-01,14.1187659969038,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2000-01-01,14.072690916215,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2000-02-01,14.0061637938321,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2000-03-01,14.2541308186163,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
