date,Housing Inventory: Median Listing Price per Square Feet,state,msa,city,title,id,frequency,seasonal_adjustment
2017-03-01,108.765625,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-04-01,110.9375,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-05-01,112.2681885,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-06-01,112.7226562,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-07-01,112.6552734,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-08-01,113.3632812,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-09-01,113.7890625,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-10-01,114.4589844,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-11-01,114.7929687,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-12-01,115.3253754,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2018-01-01,116.3027344,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2018-02-01,117.9125372,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2018-03-01,120.9375,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2018-04-01,123.2600819,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2018-05-01,124.4973958,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2018-06-01,124.375,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2018-07-01,123.6848645,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2018-08-01,123.2062988,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2018-09-01,123.25,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2018-10-01,123.71875,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2018-11-01,124.7089844,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2018-12-01,125.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-01-01,125.8430054,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-02-01,123.3885495,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-03-01,125.4064626,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-04-01,132.2734375,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-05-01,133.0019531,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-06-01,132.8603604,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-07-01,131.7109375,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-08-01,131.4994941,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-09-01,131.9760566,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-10-01,131.6682775,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-11-01,132.875,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2019-12-01,132.3950382,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-01-01,132.4077335,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-02-01,133.9882812,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-03-01,135.5419922,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-04-01,135.4238281,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-05-01,137.359375,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-06-01,141.0848214,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2020-07-01,146.0962729,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
