date,Housing Inventory: Active Listing Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2021-05-01,6.05,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-06-01,18.5,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-07-01,11.27,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-08-01,4.11,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-09-01,3.44,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-10-01,-6.37,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-11-01,-13.91,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2017-07-01,3.95,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2017-08-01,20.75,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2017-09-01,-2.61,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2017-10-01,-3.02,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2017-11-01,-5.16,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2017-12-01,-7.83,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-01-01,-9.58,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-02-01,-2.32,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-03-01,2.99,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-04-01,4.24,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-05-01,5.03,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-06-01,5.49,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-07-01,8.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
