date,All Employees: Federal Government,state,msa,city,title,id,frequency,seasonal_adjustment
1996-01-01,2.6,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
1997-01-01,2.6,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
1998-01-01,2.5,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
1999-01-01,2.5,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
2000-01-01,2.6,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
2001-01-01,2.6,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
2002-01-01,2.6,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
2003-01-01,2.6,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
2004-01-01,2.5,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
2005-01-01,2.5,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
2006-01-01,2.5,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
2007-01-01,2.6,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
2008-01-01,2.5,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
2009-01-01,2.4,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
