date,Housing Inventory: Price Reduced Count,state,msa,city,title,id,frequency,seasonal_adjustment
2017-10-01,14684.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2017-11-01,13240.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2017-12-01,10320.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2018-01-01,8788.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2018-02-01,9624.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2018-03-01,11048.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2018-04-01,14116.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2018-05-01,17436.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2018-06-01,18868.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2018-07-01,20792.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2018-08-01,21516.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2018-09-01,20144.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2018-10-01,22300.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2018-11-01,16188.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2018-12-01,11988.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2019-01-01,12512.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2019-02-01,12440.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2019-03-01,12900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2019-04-01,13716.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
