date,All Employees: State Government,state,msa,city,title,id,frequency,seasonal_adjustment
2014-01-01,5.3,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2015-01-01,5.2,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2016-01-01,5.3,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2017-01-01,5.3,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2018-01-01,5.3,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2019-01-01,5.5,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2020-01-01,5.4,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
1990-01-01,21.2,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
1991-01-01,22.0,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
1992-01-01,22.6,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
1993-01-01,22.7,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
1994-01-01,23.1,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
1995-01-01,23.1,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
1996-01-01,23.3,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
1997-01-01,23.4,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
1998-01-01,23.3,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
1999-01-01,23.2,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2000-01-01,23.4,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2001-01-01,23.7,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2002-01-01,24.3,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2003-01-01,25.6,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2004-01-01,25.8,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2005-01-01,26.0,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2006-01-01,27.6,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2007-01-01,28.2,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2008-01-01,28.3,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2009-01-01,28.3,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2010-01-01,28.3,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2011-01-01,28.6,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2012-01-01,28.3,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2013-01-01,28.7,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2014-01-01,29.3,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2015-01-01,29.9,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2016-01-01,30.6,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
