date,All Employees: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
2020-01-01,209.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
1990-01-01,16.1,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
1991-01-01,16.7,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
1992-01-01,17.3,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
1993-01-01,17.8,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
1994-01-01,18.0,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
1995-01-01,18.0,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
1996-01-01,18.2,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
1997-01-01,18.1,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
1998-01-01,18.1,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
1999-01-01,18.4,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2000-01-01,19.0,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2001-01-01,19.2,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2002-01-01,18.9,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2003-01-01,18.6,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2004-01-01,18.4,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2005-01-01,18.5,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2006-01-01,18.2,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2007-01-01,18.2,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2008-01-01,18.1,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2009-01-01,18.8,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2010-01-01,18.8,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2011-01-01,18.4,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2012-01-01,18.1,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2013-01-01,18.1,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2014-01-01,17.7,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2015-01-01,17.4,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2016-01-01,17.5,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2017-01-01,17.3,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2018-01-01,17.5,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2019-01-01,17.6,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
2020-01-01,17.5,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Local Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409093000001A,Annual,Not Seasonally Adjusted
1990-01-01,36.5,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
1991-01-01,38.1,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
1992-01-01,39.1,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
1993-01-01,39.9,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
1994-01-01,40.9,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
1995-01-01,40.8,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
1996-01-01,41.1,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
1997-01-01,41.4,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
1998-01-01,41.4,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
1999-01-01,41.5,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2000-01-01,42.1,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2001-01-01,42.9,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2002-01-01,43.2,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2003-01-01,43.8,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2004-01-01,44.2,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2005-01-01,44.7,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2006-01-01,45.5,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2007-01-01,46.4,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2008-01-01,47.0,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2009-01-01,47.0,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2010-01-01,46.5,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2011-01-01,45.6,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2012-01-01,44.8,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2013-01-01,43.9,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2014-01-01,43.6,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2015-01-01,43.0,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2016-01-01,43.1,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2017-01-01,43.5,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
