date,"All Employees: Mining, Logging, and Construction",state,msa,city,title,id,frequency,seasonal_adjustment
1996-07-01,22.6895572224747,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1996-08-01,22.631019191335696,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1996-09-01,22.7777444905943,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1996-10-01,22.707302198098002,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1996-11-01,22.668217396609002,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1996-12-01,22.410087960638197,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1997-01-01,22.2158475262495,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1997-02-01,22.3205750997424,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1997-03-01,22.4564255209628,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1997-04-01,22.6089754814397,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1997-05-01,22.5711158958604,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1997-06-01,22.438980792082702,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1997-07-01,22.068671112701203,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1997-08-01,22.4108830066988,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1997-09-01,21.825085468748497,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1997-10-01,21.9911747036648,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1997-11-01,21.834133953002702,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1997-12-01,21.6369935202316,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1998-01-01,21.8420943354465,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1998-02-01,21.768400054717898,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1998-03-01,21.9020155218254,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1998-04-01,21.876321748013602,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1998-05-01,21.6675133990525,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1998-06-01,21.3738225941705,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1998-07-01,21.377049775634,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1998-08-01,21.083367754656802,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1998-09-01,21.2102921559526,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1998-10-01,20.9885967365488,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1998-11-01,20.7613395319817,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1998-12-01,20.8178287758575,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1999-01-01,20.9053270138305,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1999-02-01,21.012162774021,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1999-03-01,21.0449596559653,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
