date,Housing Inventory: Average Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2016-08-01,378985.0981,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2016-09-01,380812.8037,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2016-10-01,381728.4635,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2016-11-01,384815.3018,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2016-12-01,383178.3584,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2017-01-01,388125.241,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2017-02-01,397728.4559,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2017-03-01,413995.485,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2017-04-01,420735.1196,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2017-05-01,422510.1787,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
