date,Housing Inventory: Median Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2019-06-01,569000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Listing Price in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDLISPRI35620,Monthly,Not Seasonally Adjusted
2019-07-01,559500.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Listing Price in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDLISPRI35620,Monthly,Not Seasonally Adjusted
2019-08-01,553989.1429,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Listing Price in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDLISPRI35620,Monthly,Not Seasonally Adjusted
2019-09-01,550461.1429,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Listing Price in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDLISPRI35620,Monthly,Not Seasonally Adjusted
2019-10-01,558028.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Listing Price in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDLISPRI35620,Monthly,Not Seasonally Adjusted
2019-11-01,550000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Listing Price in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDLISPRI35620,Monthly,Not Seasonally Adjusted
2019-12-01,553527.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Listing Price in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDLISPRI35620,Monthly,Not Seasonally Adjusted
2020-01-01,549000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Listing Price in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDLISPRI35620,Monthly,Not Seasonally Adjusted
2020-02-01,559900.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Listing Price in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDLISPRI35620,Monthly,Not Seasonally Adjusted
2020-03-01,569450.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Listing Price in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDLISPRI35620,Monthly,Not Seasonally Adjusted
2020-04-01,580000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Listing Price in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDLISPRI35620,Monthly,Not Seasonally Adjusted
2020-05-01,579000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Listing Price in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDLISPRI35620,Monthly,Not Seasonally Adjusted
2020-06-01,589500.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Listing Price in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDLISPRI35620,Monthly,Not Seasonally Adjusted
2020-07-01,599499.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Listing Price in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDLISPRI35620,Monthly,Not Seasonally Adjusted
2020-08-01,635000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Listing Price in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDLISPRI35620,Monthly,Not Seasonally Adjusted
2020-09-01,644450.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Listing Price in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDLISPRI35620,Monthly,Not Seasonally Adjusted
