date,year,month,city,state,housing_median_listing_price,education,financial,hourly_earnings,resident_population,government,manufacturing,housing_active_listing_count,unemployment_rate,housing_median_home_size_in_square_feet,housing_new_listing_count,housing_median_days_on_market,leisure
2016-07-01,2016,7,Topeka,KS,110000.0,1.393361388553893e-06,5.406927201778814e-07,21.8676233900668,233.237,2.758517251086625e-07,4.3403024060418786e-07,6.864767216275573e-05,4.0,1680.0,2.4590210923972204e-05,53.0,6.061749501402068e-07
2016-08-01,2016,8,Topeka,KS,109925.0,1.3925898272941253e-06,5.470849650042201e-07,22.2173232235249,233.237,2.758517251086625e-07,4.418732462608705e-07,6.683493225489881e-05,4.0,1680.0,2.2068138008693005e-05,53.5,5.977035785624347e-07
2016-09-01,2016,9,Topeka,KS,112500.0,1.3952425268150643e-06,5.507504447106921e-07,22.419560638781398,233.237,2.758517251086625e-07,4.377345814622638e-07,6.675611747629633e-05,4.0,1666.0,2.4590210923972204e-05,57.0,6.00993141313428e-07
2016-10-01,2016,10,Topeka,KS,115000.0,1.3774887242957919e-06,5.503152579618914e-07,22.9576879620397,233.237,2.758517251086625e-07,4.3776716868655327e-07,6.565271057586169e-05,4.0,1680.0,2.23833971231029e-05,54.0,5.997211050601375e-07
2016-11-01,2016,11,Topeka,KS,114450.0,1.3871780586799117e-06,5.49887832779246e-07,22.8748602392085,233.237,2.758517251086625e-07,4.4419171713497347e-07,6.344589677499239e-05,3.9,1677.5,2.1752878894283104e-05,53.5,6.082316191913588e-07
2016-12-01,2016,12,Topeka,KS,107500.0,1.3758027325127997e-06,5.489061492911327e-07,22.5332391410375,233.237,2.758517251086625e-07,4.428984696053198e-07,5.848056572303645e-05,3.8,1660.0,1.1349328118756401e-05,68.0,6.079354266882005e-07
2017-01-01,2017,1,Topeka,KS,107625.0,1.3787080947881874e-06,5.479055225966206e-07,22.2825059064038,233.047,2.7652696963044256e-07,4.4329001391687917e-07,5.269813964100149e-05,3.7,1657.0,1.9909941813391868e-05,68.5,6.102923530559655e-07
2017-02-01,2017,2,Topeka,KS,109900.0,1.373926318257071e-06,5.479480252866993e-07,21.8560636578106,233.047,2.7652696963044256e-07,4.4261834142508994e-07,5.246111652417539e-05,3.7,1693.0,2.1806126748000612e-05,51.0,6.133875453306277e-07
2017-03-01,2017,3,Topeka,KS,117450.0,1.387514409749698e-06,5.499425294852133e-07,22.0958797662097,233.047,2.7652696963044256e-07,4.4439266562479745e-07,5.356722440269716e-05,3.7,1716.0,2.8442774019131236e-05,44.5,6.151722831852995e-07
2017-04-01,2017,4,Topeka,KS,122900.0,1.3783807375076373e-06,5.491251484666768e-07,22.1270669826922,233.047,2.7652696963044256e-07,4.401785263671707e-07,5.269813964100149e-05,3.7,1750.0,2.749468155182686e-05,50.0,6.122843845471163e-07
2017-05-01,2017,5,Topeka,KS,122400.0,1.3764130161254677e-06,5.481978405703971e-07,22.322316952058202,233.047,2.7652696963044256e-07,4.4039275632809666e-07,5.6332494099001584e-05,3.7,1764.0,2.717865072939207e-05,48.5,6.142426557063864e-07
2017-06-01,2017,6,Topeka,KS,129900.0,1.3813042783913395e-06,5.507227976740001e-07,22.3486884606739,233.047,2.6862619906957277e-07,4.48404214177435e-07,5.7043563449479866e-05,3.7,1784.0,2.8126743196696443e-05,44.0,6.152171521544538e-07
2017-07-01,2017,7,Topeka,KS,125000.0,1.3873810132568194e-06,5.498647228556681e-07,22.3388858075646,233.047,2.7652696963044256e-07,4.496734560467728e-07,5.8623717561653824e-05,3.7,1776.0,2.5598496617218114e-05,46.0,6.234000027008656e-07
2017-08-01,2017,8,Topeka,KS,122975.0,1.3790067727010005e-06,5.481497314457981e-07,22.040212149598304,233.047,2.7652696963044256e-07,4.502146690736227e-07,6.423326465987138e-05,3.6,1730.5,2.7810712374261654e-05,47.0,6.220683111244869e-07
2017-09-01,2017,9,Topeka,KS,117500.0,1.3811438442941998e-06,5.523278192826608e-07,22.161817099337,233.047,2.6862619906957277e-07,4.539485468916643e-07,6.660349582813231e-05,3.5,1695.0,2.686261990695728e-05,45.0,6.256532443828361e-07
2017-10-01,2017,10,Topeka,KS,119900.0,1.3890327684033707e-06,5.440799685282792e-07,22.509190871146004,233.047,2.6862619906957277e-07,4.533325765688964e-07,6.447028777669748e-05,3.5,1707.5,2.275421921530499e-05,51.5,6.243739009609553e-07
2017-11-01,2017,11,Topeka,KS,110450.0,1.3755039371839637e-06,5.431466549935837e-07,22.4725565046541,233.047,2.7652696963044256e-07,4.526937591479859e-07,6.273211825330612e-05,3.4,1686.0,2.0225972635826657e-05,57.5,6.17004352632934e-07
2017-12-01,2017,12,Topeka,KS,109900.0,1.372801643807535e-06,5.421132945634043e-07,22.4972881680328,233.047,2.7652696963044256e-07,4.584268890073266e-07,5.775463279995815e-05,3.4,1648.0,1.5169479476869992e-05,60.0,6.166210310891628e-07
2018-01-01,2018,1,Topeka,KS,109000.0,1.3994983655976635e-06,5.455916790155482e-07,22.8265782594603,232.216,2.7950631504703507e-07,4.6525223887563347e-07,5.2786764070311476e-05,3.3,1600.5,1.6930096797134695e-05,68.0,6.164924704555807e-07
