date,Per Capita Personal Income,state,msa,city,title,id,frequency,seasonal_adjustment
1985-01-01,18376,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1986-01-01,19590,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1987-01-01,21015,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1988-01-01,23146,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1989-01-01,24914,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1990-01-01,26612,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1991-01-01,26426,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1992-01-01,27894,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1993-01-01,28532,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1994-01-01,29273,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1995-01-01,30869,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1996-01-01,32507,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1997-01-01,34296,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1998-01-01,36209,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
1999-01-01,37968,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2000-01-01,41042,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2001-01-01,42343,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2002-01-01,42013,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2003-01-01,42401,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2004-01-01,44354,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2005-01-01,46304,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2006-01-01,50278,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2007-01-01,54116,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2008-01-01,54621,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2009-01-01,52541,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2010-01-01,54337,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2011-01-01,56950,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2012-01-01,59622,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2013-01-01,60169,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2014-01-01,62853,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2015-01-01,65567,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2016-01-01,68000,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2017-01-01,72163,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2018-01-01,75166,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2019-01-01,77911,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
2020-01-01,82322,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Per Capita Personal Income in New York-Newark-Jersey City, NY-NJ-PA (MSA)",NEWY636PCPI,Annual,Not Seasonally Adjusted
