date,year,month,city,state,housing_median_listing_price,education,financial,hourly_earnings,resident_population,government,manufacturing,housing_active_listing_count,unemployment_rate,housing_median_home_size_in_square_feet,housing_new_listing_count,housing_median_days_on_market,leisure
2017-11-01,2017,11,Topeka,KS,110450.0,0.0003205570660489112,0.0001265786985062897,22.4725565046541,233.047,6.444378069146574e-05,0.00010549892248816067,0.01461953196257823,3.4,1686.0,0.004713602244861495,57.5,0.00014379101336804738
2017-12-01,2017,12,Topeka,KS,109900.0,0.00031992730468441465,0.0001263378769581177,22.4972881680328,233.047,6.444378069146574e-05,0.00010683501120249045,0.013459543910131846,3.4,1648.0,0.003535201683646121,60.0,0.00014370168143223612
2018-01-01,2018,1,Topeka,KS,109000.0,0.00032498591246562706,0.00012669511733427456,22.8265782594603,232.216,6.49058384549623e-05,0.00010803901390274411,0.01225793120535145,3.3,1600.5,0.00393143935784343,68.0,0.00014315941551931315
2018-02-01,2018,2,Topeka,KS,114950.0,0.00032591415394578197,0.00012848980112495896,22.723802978498302,232.216,6.49058384549623e-05,0.00010768711560516613,0.01236919835698853,3.3,1647.5,0.004969932773122827,61.0,0.0001418957834798996
2018-03-01,2018,3,Topeka,KS,115000.0,0.000323735185517757,0.00012728957206833882,22.584679296828398,232.216,6.49058384549623e-05,0.00010638431777304109,0.012202297629532911,3.3,1694.0,0.006676029098224693,46.0,0.0001445095457766779
2018-04-01,2018,4,Topeka,KS,119700.0,0.0003257840993238486,0.00012890167812509506,22.4063075920015,232.216,6.49058384549623e-05,0.00010728566276537901,0.012276475730624297,3.4,1725.0,0.006008426188402224,42.0,0.00014589812137780897
2018-05-01,2018,5,Topeka,KS,127200.0,0.000329102190898947,0.00012859215184314908,22.5911411364084,232.216,6.49058384549623e-05,0.00010922686607194599,0.012647366236081224,3.4,1725.5,0.006601850997133308,43.0,0.0001445766715739917
2018-06-01,2018,6,Topeka,KS,133000.0,0.0003299615726210258,0.00012572521558766893,22.716849968105198,232.216,6.49058384549623e-05,0.0001091053473592889,0.01353750344917785,3.4,1746.0,0.007195275805864392,38.0,0.00014459109556943156
2018-07-01,2018,7,Topeka,KS,134500.0,0.00033111014854672377,0.00012722463726535323,22.895503603554502,232.216,6.49058384549623e-05,0.00010895093001825634,0.014112383732636088,3.4,1764.0,0.00689856340149885,38.5,0.00014469120107162546
2018-08-01,2018,8,Topeka,KS,129900.0,0.0003309382745863429,0.00012493912348586592,23.111364584367102,232.216,6.49058384549623e-05,0.00010922713131553661,0.013926938479907624,3.4,1687.0,0.005711713784036682,43.5,0.00014578941480805976
2018-09-01,2018,9,Topeka,KS,125000.0,0.0003295676057492229,0.00012606996533902644,23.4019434686474,232.216,6.49058384549623e-05,0.0001102237483550724,0.01426073993481886,3.4,1602.0,0.006379316693859152,44.0,0.0001467746763606599
2018-10-01,2018,10,Topeka,KS,125375.0,0.00033312498764896973,0.0001259183797199477,23.4813741050769,232.216,6.49058384549623e-05,0.00010977443164875726,0.013741493227179161,3.4,1611.0,0.005266645177488369,48.0,0.00014433569374112964
2018-11-01,2018,11,Topeka,KS,121200.0,0.0003415112216089515,0.00012562498411817426,23.5463375575725,232.216,6.49058384549623e-05,0.00010980895787843438,0.013314969145903693,3.4,1597.0,0.004747398469848671,58.5,0.00014469003810470377
2018-12-01,2018,12,Topeka,KS,120000.0,0.0003428456425912721,0.0001252995888134771,23.7769250253189,232.216,6.49058384549623e-05,0.00011118620164754406,0.012035396902077295,3.4,1584.0,0.003708905054569274,64.0,0.00014446321710183057
2019-01-01,2019,1,Topeka,KS,119500.0,0.00034237308533742184,0.000125054429967616,23.7884709402808,231.862,6.510418235658085e-05,0.00011047823450319283,0.011625746849389438,3.4,1589.5,0.003645834211968528,68.0,0.0001453730197850918
2019-02-01,2019,2,Topeka,KS,123500.0,0.0003435043473396043,0.00012503482799284805,23.9931173447296,231.862,6.510418235658085e-05,0.00011174669291111948,0.011011907415741675,3.4,1600.0,0.003645834211968528,67.5,0.00014597930442307252
